name,country_code,company_state_code,region,city,stock_exchange_symbol,stock_symbol,went_public_on, price_usd , price ,price_currency_code, cb_url , ipo_uuid ,uuid
Wireless Ronin Technologies,USA,MN,MN,Minneapolis,nasdaq,RNIN,2006-11-06,,,, https://www.crunchbase.com/organization/wireless-ronin , 41208eb9-76fe-c22a-6c5e-34899882b0fc ,15514428-3573-dc49-acab-b49f1ffea9a1
Achillion Pharmaceuticals,USA,CT,CT,New Haven,nasdaq,ACHN,2006-11-03," 177,600,000 ",,, https://www.crunchbase.com/organization/achillion-pharmaceuticals , 2afec2cb-3b51-07c5-bd43-f82d98972683 ,cd8a58a3-14e9-04b9-3a45-ba8536c8489f
Big Star Energy,USA,TX,TX,Dallas,asx,BNL,2006-11-03,,,, https://www.crunchbase.com/organization/antares-energy , 8e063662-fd68-d707-5d81-55768b2796e3 ,1d02cc1d-aca3-6e37-5245-29b09d6758d6
Boussard & Gavaudan Holding,GBR,,H9,London,ams,BGHL,2006-11-03,,,, https://www.crunchbase.com/organization/boussard-gavaudan-holding , 55378373-0740-4e4c-a02f-7d74af5c2aee ,a86119e9-989c-0356-4a06-9703244bcb81
DCB BANK,IND,,16,Mumbai,nse,DCBBANK,2006-11-03,,,, https://www.crunchbase.com/organization/dcb-bank , f91cfa76-2f1f-4eb4-86a1-93114f2af017 ,373d044a-ed3a-36cc-0135-2eb8db89a69e
Delticom AG,DEU,,6,Hanover,etr,DEX,2006-11-03,,,, https://www.crunchbase.com/organization/delticom-ag , ac5b84b6-7e2b-32df-cc9b-3c34716c37b4 ,55ba3f88-45b8-3abd-52de-a65c6300774b
Douglas Emmett,USA,CA,CA,Santa Monica,nyse,DEI,2006-11-03,,,, https://www.crunchbase.com/organization/douglas-emmett , a9d1f371-f142-95f3-82e8-4cedb00899b1 ,287b55a1-4a1a-494a-72db-4f37ac72e8a1
Galp,PRT,,14,Lisboa,eli,GALP,2006-11-03,,,, https://www.crunchbase.com/organization/galp , 2d4a49b4-e52c-a731-e6d3-41a8f34adace ,91887de1-6929-5da9-b26b-b1d48536e7a0
Galp Energia,PRT,,14,Lisboa,eli,GALP,2006-11-03,,,, https://www.crunchbase.com/organization/galp-energia , 0eb2241c-9830-41dc-b164-36206592df0b ,5d07c23b-a8ec-4803-b43b-baa5749c1529
Gattaca Plc,GBR,,F2,Fareham,lon,GATC,2006-11-03,,,, https://www.crunchbase.com/organization/gattaca-plc , d22c7714-0c7e-45bf-9dd8-9219631b0d50 ,50391960-f097-428f-bc67-d8798ee7e62d
Gayatri Projects,IND,,2,Hyderabad,bom,532767,2006-11-03,,,, https://www.crunchbase.com/organization/gayatri-projects , 76f4c453-498f-348b-cc0d-9bc8f5ceb12f ,147cdc7e-b626-6bff-b7e0-1b24de4a286d
Hanung Toys & Textiles,IND,,36,Noida,nse,HANUNG,2006-11-03,,,, https://www.crunchbase.com/organization/hanung-toys-textiles , f8c071d6-7679-254d-4344-5c714b10a67b ,a7b00b4a-9979-828f-b0e3-d94221fe6675
Industrial and Commercial Bank of China,USA,NY,NY,New York,sha,601398,2006-11-03,,,, https://www.crunchbase.com/organization/industrial-and-commercial-bank-of-china , d79b547f-4fbf-8097-3629-48cce7be732c ,dd3c754e-9070-68c0-6163-9687b1e80d11
Innate Pharma,FRA,,B8,Marseille,epa,IPH,2006-11-03,,,, https://www.crunchbase.com/organization/innate-pharma , b128bca5-9130-6b8c-cee3-0cbd84c031fe ,7fbb3ff5-abef-8f11-8c90-95f5699af04f
JHS Svendgaard Laboratories,IND,,7,New Delhi,nse,JHS,2006-11-03,,,, https://www.crunchbase.com/organization/jhs-svendgaard-laboratories , ef7540e0-8707-418b-0d80-a39bec8829ca ,84e57997-eec5-2be7-04c0-0f94d029eae0
Maxtek Technology,TWN,,3,Taipei,tpe,3315,2006-11-03,,,, https://www.crunchbase.com/organization/maxtek , 3cdfc0f6-342a-657f-7885-a470b3bdd067 ,68702371-333a-a4fc-74ee-e4c39f70f762
Moly Mines,CAN,ON,ON,Oshawa,otcpink,MYMNF,2006-11-03,,,, https://www.crunchbase.com/organization/moly-mines , 3499d19b-ffa2-630a-137e-8fa2482f6823 ,512e73d5-3ede-bd6f-12fc-bd271f72ce09
Montan Mining Corp.,CAN,BC,BC,Vancouver,cve,MNY,2006-11-03,,,, https://www.crunchbase.com/organization/montan-mining-corp , 328c7a67-03aa-4738-9259-aeaa76695eb8 ,0ebbbdd8-b0cd-42f4-ad15-57acaf23b44e
ORBCOMM,USA,NJ,NJ,Rochelle Park,nasdaq,ORBC,2006-11-03," 399,345,298 ",,, https://www.crunchbase.com/organization/orbcomm , 7dd91193-44a4-2533-fe47-97e056cd0144 ,b5bfaa5a-f117-d67d-7531-6adc38f70f15
