company_name,country_code,state_code,region,funding_rounds,women_led
Jebbit,USA,MA,MA,5,True
Kabbage,USA,GA,GA,15,True
Klarna,SWE,,26,15,True
Klaviyo,USA,MA,MA,3,False
KONUX,DEU,,2,7,True
Kuliza,IND,,19,2,True
LendInvest,GBR,,H9,16,True
Liopa,GBR,,R3,3,False
Micreos,NLD,,3,4,False
Minieye,CHN,,5,3,False
Mirada Medical,GBR,,K2,3,False
Mount Wish Corporation,USA,NY,NY,5,False
Nimbix,USA,TX,TX,5,False
Osi Systems,USA,CA,CA,2,False
Pflegix,DEU,,7,2,False
PopCom,USA,OH,OH,5,True
ProTenders,ARE,,1,4,True
Pulmatrix,USA,MA,MA,7,True
Reboot,SGP,,,1,True
RiskLens,USA,WA,WA,4,False
Robin,USA,MA,MA,3,False
Rubicon Research,IND,,16,1,True
SHO Products,USA,CA,CA,1,False
Signum Surgical,IRL,,10,2,False
SigTuple,IND,,19,4,True
Simudyne,GBR,,H9,4,True
SparkSwap,USA,GA,GA,2,True
SupplyStack,BEL,,1,2,False
THEYA Healthcare,IRL,,7,2,True
UNIFi Software,USA,CA,CA,4,False
Upstart,USA,CA,CA,6,True
UserIQ,USA,GA,GA,3,True
V Resorts,IND,,36,2,True
Washington University School Of Medicine,USA,MO,MO,4,False
Branch International,USA,CA,CA,6,False
Oliv,ARE,,3,2,False
Otonomo,ISR,,5,5,False
Upside.com,USA,DC,DC,2,True
Vector,USA,CA,CA,2,False
NIIT Technologies,IND,,7,1,False
Studybee,SWE,,27,2,False
1mg,IND,,10,10,False
4505 Meats,USA,CA,CA,2,False
Adform,DNK,,17,4,False
Animoca Brands,HKG,,,11,False
Blackbuck,IND,,19,6,False
Blockdaemon,USA,NY,NY,6,False
Bonusly,USA,CO,CO,3,False
Boost Payment Solutions,USA,NY,NY,3,True
BrightFlag,IRL,,7,6,False
CyberHat,ISR,,5,1,False
CYBERHAWK Innovations,GBR,,W9,5,False
GreenSync,AUS,,7,4,True
Haven Lock,USA,TN,TN,2,False
HistoSonics,USA,MI,MI,7,False
Infinity Works,GBR,,H3,1,False
KiiTO,USA,CA,CA,1,False
Landed,USA,CA,CA,3,False
Legends of Learning,USA,DC,DC,4,False
Market Kurly,KOR,,11,1,True
Onomondo,DNK,,17,4,False
opendorse,USA,NE,NE,7,False
Prophix Software,CAN,ON,ON,1,False
Santhera Pharmaceuticals,CHE,,3,7,True
Spinal Singularity,USA,CA,CA,8,True
STORD,USA,GA,GA,4,False
Tended,GBR,,H7,3,False
Tofurky,USA,OR,OR,1,True
TrovaGene,USA,CA,CA,6,False
Unelma Platforms,,,,2,True
Zipnosis,USA,MN,MN,5,True
Allcancode,GRC,,35,3,False
Atlantic Therapeutics,IRL,,10,3,False
Barkyn,,,,1,False
CareMonkey,,,,1,False
CARS24,IND,,10,2,False
Citius Pharmaceuticals,USA,NJ,NJ,1,True
Cobalt,CAN,QC,QC,1,True
Custom Ink,USA,VA,VA,4,True
eccocar,ESP,,29,5,False
Enlitic,USA,CA,CA,3,True
Gradientech,SWE,,21,2,True
GrubMarket,USA,CA,CA,5,False
"Inscripta, Inc",USA,CO,CO,5,False
Intelligent Fiber Network,USA,IN,IN,1,True
Loop Medical,,,,2,False
Mighty Networks,USA,CA,CA,4,False
mPedigree Network,IND,,19,1,False
Nautilus Labs,USA,NY,NY,2,True
PNC Financial Services Group,USA,PA,PA,1,True
Probiodrug,DEU,,14,4,False
Q Beverage Company,USA,NY,NY,1,False
Runerra,USA,MN,MN,2,False
SESAMm,FRA,,B2,3,False
Sharebee,CAN,QC,QC,2,False
Shepherd Network Ltd,USA,MD,MD,3,False
SingleOps,USA,GA,GA,2,False
Siris Capital Group,USA,NY,NY,1,True
Stravito,SWE,,26,2,True
Sunseap,SGP,,,5,False
Talentuno,HUN,,5,4,False
Teamonk,IND,,19,1,False
Teridion,USA,CA,CA,4,False
The Volte,,,,1,True
Tonal,USA,CA,CA,4,False
Trusted Key,USA,WA,WA,3,False
Ucommune,CHN,,22,10,True
WEEL,BRA,,27,3,False
Affirm,USA,CA,CA,7,True
Aqua Security,ISR,,5,4,True
Budbee,SWE,,26,5,False
deepwatch,USA,FL,FL,1,False
EFynch.com,USA,MD,MD,4,True
Faction,USA,CO,CO,5,False
FirstElement Fuel,USA,CA,CA,2,False
GIBLIB,USA,CA,CA,3,True
Global Safety Management,USA,FL,FL,3,True
HealthVerity,USA,PA,PA,3,True
Hometalk,USA,NY,NY,1,True
HyperSciences,USA,TX,TX,6,False
Inanovate,USA,VA,VA,2,False
Intechnica,GBR,,I2,4,False
JIVR,GBR,,H9,5,False
Little Black Book,IND,,7,4,True
MemVerge,USA,CA,CA,1,False
Miles,USA,CA,CA,4,True
Onfido,GBR,,H9,8,False
OpenGamma,GBR,,H9,9,False
Oxford Genetics,GBR,,M3,6,False
Pagaya Investments,ISR,,5,6,True
Placio,IND,,36,3,False
Red Planet Labs,,,,1,False
Rippling,USA,CA,CA,2,False
Suryoday Small Finance Bank,IND,,16,4,False
"Tarmin, Inc.",USA,MA,MA,1,False
Taxfix,DEU,,16,3,False
Torch Leadership Labs,USA,CA,CA,2,False
TranServ,IND,,16,4,False
Tru Optik,USA,CT,CT,4,False
Vedantu,IND,,19,5,False
Wed Me Good,IND,,10,2,True
Aura Biosciences,USA,MA,MA,9,True
Bill.com,USA,CA,CA,11,True
Blueprint,,,,1,True
Blume,CAN,BC,BC,2,True
Cambridge Blockchain,USA,MA,MA,4,True
Celo,USA,CA,CA,2,True
CitizenM,NLD,,11,1,False
Cora,USA,CA,CA,3,True
Deliverect,BEL,,8,2,False
Dubber,AUS,,7,2,False
DynamiCare Health,,,,1,False
Elvie,GBR,,H9,4,True
Fast Radius,USA,IL,IL,3,False
Flatpebble,,,,5,False
FMI,USA,PA,PA,2,True
